Id,Subject speciality
1,"NEB, biology, chemistry, mathematics"
2,"stock market, Fintech, foreign exchange"
3,"mathematics, physics, biology"
4,"stock market, Fintech, foreign exchange"
5,"CEE, mathematics, physics, chemistry"
6,"Cybersec, Programming, Fintech"
7,"Artificial Intelligence, DSA, tech interviews, Programming"
8,"mathematics, physics, biology"
9,"stock market, Fintech, foreign exchange"
10,"CEE, mathematics, physics, chemistry"
11,"mathematics, physics, biology"
12,"Artificial Intelligence, DSA, tech interviews, Programming"
13,"Artificial Intelligence, DSA, tech interviews, Programming"
14,"mathematics, physics, biology"
15,"stock market, Fintech, foreign exchange"
16,"NEB, biology, chemistry, mathematics"
17,"IELTS, TOEFL, SAT, Foreign study"
18,"mathematics, physics, biology"
19,"stock market, Fintech, foreign exchange"
20,"NEB, biology, chemistry, mathematics"
21,"CEE, mathematics, physics, chemistry"
22,"stock market, Fintech, foreign exchange"
23,"Artificial Intelligence, DSA, tech interviews, Programming"
24,"IELTS, TOEFL, SAT, Foreign study"
25,"Artificial Intelligence, DSA, tech interviews, Programming"
26,"CEE, mathematics, physics, chemistry"
27,"stock market, Fintech, foreign exchange"
28,"stock market, Fintech, foreign exchange"
29,"Artificial Intelligence, DSA, tech interviews, Programming"
30,"CEE, mathematics, physics, chemistry"
31,"Artificial Intelligence, DSA, tech interviews, Programming"
32,"IELTS, TOEFL, SAT, Foreign study"
33,"CEE, mathematics, physics, chemistry"
34,"Artificial Intelligence, DSA, tech interviews, Programming"
35,"mathematics, physics, biology"
36,"IELTS, TOEFL, SAT, Foreign study"
37,"IELTS, TOEFL, SAT, Foreign study"
38,"Artificial Intelligence, DSA, tech interviews, Programming"
39,"Artificial Intelligence, DSA, tech interviews, Programming"
40,"NEB, biology, chemistry, mathematics"
41,"CEE, mathematics, physics, chemistry"
42,"IELTS, TOEFL, SAT, Foreign study"
43,"Artificial Intelligence, DSA, tech interviews, Programming"
44,"CEE, mathematics, physics, chemistry"
45,"Artificial Intelligence, DSA, tech interviews, Programming"
46,"Cybersec, Programming, Fintech"
47,"CEE, mathematics, physics, chemistry"
48,"mathematics, physics, biology"
49,"IELTS, TOEFL, SAT, Foreign study"
50,"mathematics, physics, biology"
51,"IELTS, TOEFL, SAT, Foreign study"
52,"CEE, mathematics, physics, chemistry"
53,"IELTS, TOEFL, SAT, Foreign study"
54,"NEB, biology, chemistry, mathematics"
55,"IELTS, TOEFL, SAT, Foreign study"
56,"IELTS, TOEFL, SAT, Foreign study"
57,"CEE, mathematics, physics, chemistry"
58,"CEE, mathematics, physics, chemistry"
59,"Cybersec, Programming, Fintech"
60,"stock market, Fintech, foreign exchange"
61,"Artificial Intelligence, DSA, tech interviews, Programming"
62,"NEB, biology, chemistry, mathematics"
63,"Cybersec, Programming, Fintech"
64,"NEB, biology, chemistry, mathematics"
65,"stock market, Fintech, foreign exchange"
66,"mathematics, physics, biology"
67,"Cybersec, Programming, Fintech"
68,"NEB, biology, chemistry, mathematics"
69,"stock market, Fintech, foreign exchange"
70,"mathematics, physics, biology"
71,"stock market, Fintech, foreign exchange"
72,"NEB, biology, chemistry, mathematics"
73,"CEE, mathematics, physics, chemistry"
74,"NEB, biology, chemistry, mathematics"
75,"IELTS, TOEFL, SAT, Foreign study"
76,"mathematics, physics, biology"
77,"CEE, mathematics, physics, chemistry"
78,"CEE, mathematics, physics, chemistry"
79,"Cybersec, Programming, Fintech"
80,"Cybersec, Programming, Fintech"
81,"NEB, biology, chemistry, mathematics"
82,"CEE, mathematics, physics, chemistry"
83,"CEE, mathematics, physics, chemistry"
84,"mathematics, physics, biology"
85,"stock market, Fintech, foreign exchange"
86,"CEE, mathematics, physics, chemistry"
87,"mathematics, physics, biology"
88,"IELTS, TOEFL, SAT, Foreign study"
89,"mathematics, physics, biology"
90,"CEE, mathematics, physics, chemistry"
91,"mathematics, physics, biology"
92,"IELTS, TOEFL, SAT, Foreign study"
93,"stock market, Fintech, foreign exchange"
94,"IELTS, TOEFL, SAT, Foreign study"
95,"IELTS, TOEFL, SAT, Foreign study"
96,"Cybersec, Programming, Fintech"
97,"Artificial Intelligence, DSA, tech interviews, Programming"
98,"IELTS, TOEFL, SAT, Foreign study"
99,"stock market, Fintech, foreign exchange"
100,"IELTS, TOEFL, SAT, Foreign study"
